transaction_id,date,vendor_name,employee_id,amount,currency,description,invoice_number,department,payment_method
T00222,2024-07-14 00:00,Shell Vendor A,EMP002,911627.32,USD,Sole source no tender required,INV-FRAUD-0221,Finance,Cash
T00223,2024-05-15 00:00,Shell Vendor B,EMP008,4274.19,USD,Raw materials purchase,INV-0068,Maintenance,Mobile Money
T00224,2024-07-26 00:00,Msasa Trading,EMP001,20914.55,USD,Stationery,INV-0002,Procurement,Cash
T00225,2023-12-19 00:00,Shell Vendor A,EMP002,727349.54,USD,Urgent sole supplier payment,INV-FRAUD-0224,Maintenance,Mobile Money
T00226,2024-03-30 00:00,Shell Vendor A,EMP007,441000.0,USD,Stationery,INV-PE-0225,Operations,Cash
T00227,2024-07-04 00:00,Msasa Trading,EMP003,12000.0,USD,Factory consumables,INV-0042,Maintenance,Cheque
T00228,2024-07-11 00:00,H@rare Steel Supplies,EMP004,19200.94,USD,Factory consumables,INV-0178,Operations,Cash
T00229,2023-12-28 00:00,H@rare Steel Supplies,EMP010,878000.0,USD,Raw materials purchase,INV-PE-0228,Procurement,Cash
T00230,2023-02-04 00:00,Chitungwiza Parts,EMP001,41250.87,ZIG,Factory consumables,INV-CUR-0229,Procurement,EFT
T00231,2023-08-28 00:00,Harare Steel Supplies,EMP003,24381.24,USD,Workshop tools,INV-0120,Operations,Cheque
T00232,2023-05-27 00:00,Shell Vendor B,EMP004,44359.16,USD,Stationery,INV-0141,Finance,EFT
T00233,2024-03-13 00:00,Harare Steel Supplies,EMP006,25102.11,ZIG,Stationery,INV-0164,Maintenance,Mobile Money
T00234,2024-01-21 00:00,Msasa Trading,EMP008,5500.0,ZIG,Factory consumables,INV-0087,Maintenance,Cash
T00235,2024-07-29 00:00,H@rare Steel Supplies,EMP009,18687.95,ZIG,Workshop tools,INV-0199,Operations,Cash
T00236,2024-10-24 00:00,Shell Vendor A,EMP006,3742.36,ZIG,Equipment maintenance,INV-0098,Operations,EFT
T00237,2024-09-11 00:00,Bulawayo Metals Ltd,EMP004,27210.91,ZIG,Packaging materials,INV-0112,Finance,Mobile Money
T00238,2023-12-07 00:00,Harare Steel Supplies,EMP004,13782.82,USD,Factory consumables,INV-0246,Finance,Cash
T00239,2023-09-03 00:00,Msasa Trading,EMP007,24933.15,ZIG,Safety equipment,INV-0184,Operations,Cheque
T00240,2024-05-24 00:00,Kwekwe Foundry,EMP008,21076.98,ZIG,Spare parts,INV-0190,Maintenance,Cheque
T00241,2023-08-15 00:00,H@rare Steel Supplies,EMP002,108000.0,USD,Advance payment cash only,INV-FRAUD-0240,Finance,Cash
T00242,2024-01-24 00:00,African Procurement Co,EMP008,25726.57,USD,Workshop tools,INV-0132,Maintenance,Mobile Money
T00243,2023-12-27 00:00,Kwekwe Foundry,EMP009,7783.1,ZIG,Safety equipment,INV-0278,Procurement,EFT
T00244,2023-03-18 00:00,Gweru Components,EMP001,42544.43,USD,Raw materials purchase,INV-0071,Procurement,Cash
T00245,2023-01-10 00:00,Shell Vendor A,EMP006,9998.64,ZIG,Raw materials purchase,INV-0248,Procurement,Mobile Money
T00246,2024-07-18 00:00,H@rare Steel Supplies,EMP002,108000.0,USD,Urgent sole supplier payment,INV-FRAUD-0245,Finance,Mobile Money
T00247,2023-04-09 00:00,Bulawayo Metals Ltd,EMP001,46706.98,ZIG,Packaging materials,INV-CUR-0246,Operations,EFT
T00248,2023-10-01 00:00,Bulawayo Metals Ltd,EMP006,35813.15,USD,Stationery,INV-0290,Finance,Cash
T00249,2023-03-24 00:00,Gweru Components,EMP001,29487.36,USD,Equipment maintenance,INV-0195,Maintenance,Mobile Money
T00250,2023-01-10 00:00,Shell Vendor B,EMP002,142000.0,USD,Emergency procurement no tender,INV-FRAUD-0249,Finance,Cash
T00251,2024-08-03 00:00,Harare Steel Supplies,EMP002,21502.41,ZIG,Cleaning materials,INV-0289,Finance,EFT
T00252,2023-11-19 00:00,African Procurement Co,EMP010,901.48,USD,Office supplies,INV-0040,Finance,Cheque
T00253,2024-08-03 00:00,H@rare Steel Supplies,EMP009,37592.35,USD,Spare parts,INV-0072,Operations,EFT
T00254,2024-03-23 00:00,H@rare Steel Supplies,EMP002,138000.0,USD,No receipt provided emergency,INV-FRAUD-0253,Operations,Cash
T00255,2024-04-06 00:00,Chitungwiza Parts,EMP009,22179.03,USD,Stationery,INV-0096,Procurement,Mobile Money
T00256,2023-10-30 00:00,Kwekwe Foundry,EMP002,35952.87,USD,Equipment maintenance,INV-0079,Finance,Mobile Money
T00257,2023-11-21 00:00,Bulawayo Metals Ltd,EMP001,16359.37,USD,Cleaning materials,INV-0185,Procurement,Cheque
T00258,2023-07-11 00:00,African Procurement Co,EMP009,12000.0,ZIG,Workshop tools,INV-0087,Procurement,EFT
T00259,2024-07-21 00:00,Msasa Trading,EMP003,16514.5,ZIG,Stationery,INV-CUR-0258,Procurement,EFT
T00260,2024-02-02 00:00,Kwekwe Foundry,EMP009,35106.78,ZIG,Factory consumables,INV-0267,Maintenance,Cash
T00261,2023-10-03 23:00,Bulawayo Metals Ltd,EMP002,6220.88,USD,Salary adjustment,INV-PAY-0260,Finance,EFT
T00262,2024-03-07 00:00,Bulawayo Metals Ltd,EMP006,13628.9,ZIG,Cleaning materials,INV-0254,Maintenance,Cash
T00263,2023-11-08 00:00,African Procurement Co,EMP003,10473.72,ZIG,Packaging materials,INV-CUR-0262,Maintenance,EFT
T00264,2023-12-04 00:00,H@rare Steel Supplies,EMP010,19921.99,USD,Office supplies,INV-0165,Maintenance,Cash
T00265,2024-02-12 00:00,Msasa Trading,EMP008,43598.89,ZIG,Packaging materials,INV-0167,Operations,Mobile Money
T00266,2024-02-07 00:00,Mutare Fabricators,EMP004,16552.7,ZIG,Packaging materials,INV-0093,Maintenance,EFT
T00267,2023-08-03 00:00,Msasa Trading,EMP002,19842.78,USD,Stationery,INV-0072,Finance,Cheque
T00268,2023-06-07 00:00,H@rare Steel Supplies,EMP002,32242.59,ZIG,Safety equipment,INV-0246,Maintenance,Mobile Money
T00269,2024-01-04 00:00,Shell Vendor B,EMP010,31633.22,USD,Equipment maintenance,INV-0128,Finance,Cheque
T00270,2023-02-15 00:00,Gweru Components,EMP007,25432.27,USD,Spare parts,INV-0055,Procurement,EFT
T00271,2024-06-06 00:00,Shell Vendor B,EMP010,33659.02,ZIG,Packaging materials,INV-0229,Maintenance,Cheque
T00272,2024-11-26 00:00,Shell Vendor B,EMP003,26568.83,USD,Spare parts,INV-0248,Operations,EFT
T00273,2023-03-29 00:00,Kwekwe Foundry,EMP003,5399.91,USD,Spare parts,INV-0176,Finance,Mobile Money
T00274,2023-12-23 00:00,Shell Vendor A,EMP008,21532.08,USD,Spare parts,INV-0154,Procurement,EFT
T00275,2023-12-18 00:00,H@rare Steel Supplies,EMP001,679651.98,USD,Confidential direct award,INV-FRAUD-0274,Operations,Cash
T00276,2024-04-18 00:00,H@rare Steel Supplies,EMP003,10587.13,USD,Office supplies,INV-0203,Finance,EFT
T00277,2024-03-15 00:00,Kwekwe Foundry,EMP004,17619.84,USD,Factory consumables,INV-0033,Finance,EFT
T00278,2023-07-21 00:00,Msasa Trading,EMP008,20698.26,USD,Workshop tools,INV-0199,Procurement,Mobile Money
T00279,2024-04-13 00:00,Gweru Components,EMP005,27857.85,ZIG,Packaging materials,INV-0044,Operations,Cash
T00280,2023-11-09 00:00,Bulawayo Metals Ltd,EMP006,5500.0,ZIG,Office supplies,INV-0087,Finance,Mobile Money
T00281,2024-03-09 00:00,Gweru Components,EMP009,8521.77,ZIG,Office supplies,INV-0086,Operations,Mobile Money
T00282,2023-11-19 00:00,Msasa Trading,EMP001,12000.0,USD,Spare parts,INV-0087,Finance,Cash
T00283,2024-07-29 00:00,Shell Vendor A,EMP007,22843.62,USD,Safety equipment,INV-0228,Finance,Mobile Money
T00284,2023-02-01 00:00,Bulawayo Metals Ltd,EMP003,65711.66,ZIG,Raw materials purchase,INV-CUR-0283,Operations,EFT
T00285,2023-10-23 00:00,Shell Vendor A,EMP010,7735.76,ZIG,Safety equipment,INV-0262,Procurement,EFT
T00286,2024-07-10 00:00,Chitungwiza Parts,EMP009,37083.07,USD,Raw materials purchase,INV-0280,Maintenance,Cash
T00287,2024-10-31 00:00,ZimBuild Materials,EMP001,62594.18,ZIG,Safety equipment,INV-CUR-0286,Operations,EFT
T00288,2023-03-31 00:00,Bulawayo Metals Ltd,EMP004,19870.33,ZIG,Factory consumables,INV-0180,Finance,Mobile Money
T00289,2023-07-31 00:00,Harare Steel Supplies,EMP010,36646.14,ZIG,Spare parts,INV-0144,Operations,Cash
T00290,2023-10-27 00:00,Msasa Trading,EMP009,13162.13,ZIG,Equipment maintenance,INV-0211,Operations,EFT
T00291,2023-05-10 00:00,ZimBuild Materials,EMP004,31623.91,USD,Office supplies,INV-0127,Maintenance,Mobile Money
T00292,2024-10-09 00:00,Chitungwiza Parts,EMP007,12000.0,USD,Stationery,INV-0042,Maintenance,EFT
T00293,2023-10-12 00:00,Chitungwiza Parts,EMP008,31322.72,USD,Safety equipment,INV-0298,Procurement,EFT
T00294,2024-04-14 00:00,Kwekwe Foundry,EMP006,28640.86,ZIG,Equipment maintenance,INV-0204,Maintenance,Cash
T00295,2024-05-21 00:00,Msasa Trading,EMP006,12230.45,ZIG,Workshop tools,INV-0067,Operations,Mobile Money
T00296,2023-02-19 00:00,Gweru Components,EMP008,2258.24,USD,Raw materials purchase,INV-0081,Maintenance,Mobile Money
T00297,2024-03-14 00:00,H@rare Steel Supplies,EMP002,274109.37,USD,Confidential direct award,INV-FRAUD-0296,Procurement,Mobile Money
T00298,2023-09-14 00:00,Gweru Components,EMP003,3892.44,USD,Raw materials purchase,INV-0157,Maintenance,Cash
T00299,2023-04-08 00:00,Shell Vendor A,EMP002,248.67,ZIG,Office supplies,INV-0116,Procurement,Mobile Money
T00300,2023-12-18 00:00,Shell Vendor B,EMP001,833568.4,USD,Exception waiver approved,INV-FRAUD-0299,Procurement,Mobile Money
T00301,2023-04-15 00:00,Chitungwiza Parts,EMP005,4823.43,USD,Office supplies,INV-0069,Procurement,Cash
T00302,2023-01-09 00:00,ZimBuild Materials,EMP008,27542.3,ZIG,Spare parts,INV-0078,Maintenance,Mobile Money
T00303,2023-03-30 00:00,ZimBuild Materials,EMP002,40367.36,USD,Packaging materials,INV-0180,Operations,Mobile Money
T00304,2023-09-11 00:00,Bulawayo Metals Ltd,EMP004,12608.15,ZIG,Workshop tools,INV-0146,Operations,EFT
T00305,2024-09-13 00:00,Kwekwe Foundry,EMP007,23026.61,USD,Cleaning materials,INV-0123,Maintenance,Mobile Money
T00306,2024-05-26 00:00,Msasa Trading,EMP002,8750.0,USD,Workshop tools,INV-0087,Finance,Cheque
T00307,2024-08-05 00:00,Shell Vendor B,EMP003,19054.69,USD,Safety equipment,INV-0009,Procurement,EFT
T00308,2023-02-10 00:00,H@rare Steel Supplies,EMP009,41531.55,ZIG,Cleaning materials,INV-0213,Maintenance,Mobile Money
T00309,2024-07-03 00:00,Bulawayo Metals Ltd,EMP003,47635.88,ZIG,Equipment maintenance,INV-CUR-0308,Operations,EFT
T00310,2023-07-28 00:00,Shell Vendor B,EMP001,179000.0,USD,Advance payment cash only,INV-FRAUD-0309,Finance,Mobile Money
T00311,2023-03-30 00:00,H@rare Steel Supplies,EMP001,159000.0,USD,Advance payment cash only,INV-FRAUD-0310,Procurement,Cash
T00312,2023-05-21 00:00,Shell Vendor B,EMP002,183000.0,USD,Confidential direct award,INV-FRAUD-0311,Finance,Mobile Money
T00313,2023-10-03 00:00,Bulawayo Metals Ltd,EMP001,33035.53,USD,Spare parts,INV-0140,Operations,EFT
T00314,2024-08-13 00:00,Shell Vendor A,EMP008,28313.47,USD,Workshop tools,INV-0029,Finance,Mobile Money
T00315,2023-09-19 00:00,Mutare Fabricators,EMP002,34845.14,ZIG,Factory consumables,INV-0002,Procurement,EFT
T00316,2024-04-28 00:00,ZimBuild Materials,EMP003,16506.15,ZIG,Raw materials purchase,INV-0215,Operations,Cash
T00317,2023-11-24 00:00,Bulawayo Metals Ltd,EMP010,12352.36,USD,Spare parts,INV-0258,Finance,EFT
T00318,2024-06-12 00:00,H@rare Steel Supplies,EMP002,44167.34,USD,Safety equipment,INV-0160,Procurement,Cheque
T00319,2023-01-09 00:00,Msasa Trading,EMP010,16727.59,ZIG,Cleaning materials,INV-0125,Operations,Mobile Money
T00320,2024-05-20 00:00,African Procurement Co,EMP009,44900.86,ZIG,Factory consumables,INV-0004,Procurement,Mobile Money
T00321,2023-12-21 00:00,Kwekwe Foundry,EMP001,28690.19,USD,Spare parts,INV-0193,Procurement,Cheque
T00322,2023-09-01 00:00,Harare Steel Supplies,EMP003,19007.75,USD,Cleaning materials,INV-0023,Maintenance,Cash
T00323,2024-01-17 00:00,Kwekwe Foundry,EMP002,20738.92,USD,Packaging materials,INV-0259,Maintenance,Cash
T00324,2024-08-04 00:00,Shell Vendor A,EMP002,146677.34,USD,Advance payment cash only,INV-FRAUD-0323,Maintenance,Mobile Money
T00325,2023-12-01 00:00,Msasa Trading,EMP004,14448.99,ZIG,Equipment maintenance,INV-0070,Finance,EFT
T00326,2024-04-05 00:00,African Procurement Co,EMP001,42623.86,ZIG,Workshop tools,INV-CUR-0325,Operations,EFT
T00327,2023-08-01 00:00,Shell Vendor A,EMP005,20445.89,USD,Equipment maintenance,INV-0081,Procurement,Cheque
T00328,2023-12-02 00:00,Kwekwe Foundry,EMP004,6844.91,USD,Spare parts,INV-0263,Operations,EFT
T00329,2023-06-28 00:00,H@rare Steel Supplies,EMP008,1592.48,ZIG,Workshop tools,INV-0128,Maintenance,EFT
T00330,2023-05-24 00:00,Harare Steel Supplies,EMP001,18501.73,ZIG,Office supplies,INV-CUR-0329,Finance,EFT
T00331,2024-01-17 00:00,Gweru Components,EMP002,30945.58,ZIG,Packaging materials,INV-0133,Procurement,EFT
T00332,2023-07-22 00:00,Shell Vendor A,EMP003,40631.82,USD,Equipment maintenance,INV-0063,Maintenance,EFT
T00333,2024-08-10 00:00,Shell Vendor B,EMP001,470000.0,USD,Off the books adjustment,INV-FRAUD-0332,Finance,Mobile Money
T00334,2023-07-11 00:00,Shell Vendor A,EMP003,12519.18,ZIG,Raw materials purchase,INV-0126,Maintenance,Cheque
T00335,2024-07-17 00:00,Bulawayo Metals Ltd,EMP005,21660.59,ZIG,Stationery,INV-0215,Finance,Cash
T00336,2024-07-10 00:00,H@rare Steel Supplies,EMP006,35809.11,ZIG,Safety equipment,INV-0249,Operations,Cheque
T00337,2023-07-04 00:00,Mutare Fabricators,EMP004,1367.62,USD,Raw materials purchase,INV-0030,Operations,Mobile Money
T00338,2023-08-27 00:00,Bulawayo Metals Ltd,EMP004,43834.3,USD,Factory consumables,INV-0274,Finance,EFT
T00339,2024-02-02 00:00,ZimBuild Materials,EMP003,16095.25,ZIG,Factory consumables,INV-0163,Procurement,Cheque
T00340,2023-12-27 00:00,Mutare Fabricators,EMP003,42650.63,ZIG,Packaging materials,INV-0253,Finance,Cheque
T00341,2023-04-03 00:00,Mutare Fabricators,EMP004,2716.33,ZIG,Raw materials purchase,INV-0245,Operations,EFT
T00342,2023-07-26 00:00,Chitungwiza Parts,EMP003,36328.75,USD,Spare parts,INV-0012,Finance,Cash
T00343,2024-06-22 00:00,Bulawayo Metals Ltd,EMP006,38757.99,ZIG,Stationery,INV-0052,Operations,Cheque
T00344,2023-06-11 00:00,H@rare Steel Supplies,EMP008,33009.37,ZIG,Spare parts,INV-0288,Finance,Cheque
T00345,2023-06-29 00:00,Kwekwe Foundry,EMP005,17151.61,ZIG,Office supplies,INV-0001,Procurement,Mobile Money
T00346,2023-06-28 00:00,ZimBuild Materials,EMP006,558000.0,USD,Equipment maintenance,INV-PE-0345,Operations,Cheque
T00347,2023-04-01 23:00,ZimBuild Materials,EMP002,8359.56,USD,Salary adjustment,INV-PAY-0346,Finance,EFT
T00348,2023-12-25 00:00,Bulawayo Metals Ltd,EMP001,11698.28,USD,Raw materials purchase,INV-0225,Finance,Mobile Money
T00349,2024-05-19 00:00,Chitungwiza Parts,EMP009,39703.33,USD,Stationery,INV-0246,Finance,Cash
T00350,2023-02-04 00:00,Chitungwiza Parts,EMP005,13411.91,USD,Equipment maintenance,INV-0176,Maintenance,Cash
T00351,2023-03-18 01:00,Harare Steel Supplies,EMP004,14302.01,USD,Salary adjustment,INV-PAY-0350,Maintenance,EFT
T00352,2024-03-17 00:00,ZimBuild Materials,EMP010,42421.41,ZIG,Stationery,INV-0028,Operations,EFT
T00353,2023-07-14 00:00,Shell Vendor B,EMP009,18535.74,USD,Cleaning materials,INV-0153,Procurement,Cash
T00354,2024-08-08 00:00,Shell Vendor A,EMP002,590192.45,USD,Urgent sole supplier payment,INV-FRAUD-0353,Procurement,Mobile Money
T00355,2024-11-08 00:00,Shell Vendor A,EMP004,28204.07,USD,Equipment maintenance,INV-0106,Operations,Cash
T00356,2024-04-29 00:00,Msasa Trading,EMP007,38000.85,USD,Safety equipment,INV-0136,Maintenance,EFT
T00357,2024-07-29 00:00,Harare Steel Supplies,EMP005,506000.0,ZIG,Safety equipment,INV-PE-0356,Finance,Cheque
T00358,2024-07-31 00:00,Kwekwe Foundry,EMP002,2961.44,USD,Equipment maintenance,INV-0278,Finance,Mobile Money
T00359,2024-02-01 00:00,H@rare Steel Supplies,EMP009,36864.55,ZIG,Safety equipment,INV-0121,Operations,Mobile Money
T00360,2023-02-05 00:00,Shell Vendor A,EMP002,546911.84,USD,Confidential direct award,INV-FRAUD-0359,Finance,Cash
T00361,2023-05-10 00:00,Bulawayo Metals Ltd,EMP007,2111.88,ZIG,Factory consumables,INV-0133,Procurement,Cheque
T00362,2024-07-23 00:00,ZimBuild Materials,EMP003,37814.85,ZIG,Workshop tools,INV-CUR-0361,Maintenance,EFT
T00363,2023-01-13 00:00,Mutare Fabricators,EMP010,35437.47,USD,Workshop tools,INV-0058,Finance,Mobile Money
T00364,2024-08-25 00:00,Harare Steel Supplies,EMP002,8750.0,USD,Packaging materials,INV-0087,Maintenance,Cheque
T00365,2024-11-01 00:00,Mutare Fabricators,EMP008,21954.2,ZIG,Raw materials purchase,INV-0142,Finance,Mobile Money
T00366,2024-11-28 00:00,Harare Steel Supplies,EMP007,31276.02,ZIG,Spare parts,INV-0026,Operations,Mobile Money
T00367,2023-01-21 00:00,Msasa Trading,EMP005,15336.4,USD,Cleaning materials,INV-0051,Finance,Cash
T00368,2024-03-29 00:00,Chitungwiza Parts,EMP005,34876.58,ZIG,Stationery,INV-0046,Maintenance,Cash
T00369,2024-02-21 00:00,Shell Vendor B,EMP006,33394.33,ZIG,Raw materials purchase,INV-0082,Operations,EFT
T00370,2024-02-18 00:00,Shell Vendor B,EMP010,6277.11,ZIG,Raw materials purchase,INV-0099,Procurement,Cash
T00371,2024-04-12 00:00,Chitungwiza Parts,EMP004,2465.06,USD,Cleaning materials,INV-0238,Procurement,Mobile Money
T00372,2023-09-05 00:00,Mutare Fabricators,EMP008,16886.51,USD,Office supplies,INV-0283,Operations,Cheque
T00373,2023-09-22 21:00,African Procurement Co,EMP002,6420.83,USD,Salary adjustment,INV-PAY-0372,Finance,EFT
T00374,2023-08-08 00:00,Gweru Components,EMP004,38598.58,USD,Factory consumables,INV-0210,Procurement,EFT
T00375,2023-05-16 00:00,Mutare Fabricators,EMP001,29202.25,USD,Factory consumables,INV-0157,Maintenance,Cheque
T00376,2023-12-24 00:00,African Procurement Co,EMP008,20763.11,ZIG,Cleaning materials,INV-0204,Procurement,EFT
T00377,2024-11-09 00:00,Chitungwiza Parts,EMP009,43498.55,ZIG,Packaging materials,INV-0145,Procurement,Cheque
T00378,2023-12-11 00:00,Gweru Components,EMP006,44478.57,USD,Cleaning materials,INV-0153,Finance,Cash
T00379,2023-09-04 00:00,Mutare Fabricators,EMP007,40505.98,ZIG,Spare parts,INV-0014,Operations,Mobile Money
T00380,2024-03-04 00:00,Kwekwe Foundry,EMP001,18326.03,ZIG,Packaging materials,INV-0098,Finance,Cheque
T00381,2024-10-15 00:00,Gweru Components,EMP006,35363.39,USD,Workshop tools,INV-0088,Operations,Cash
T00382,2023-05-12 00:00,Chitungwiza Parts,EMP001,61864.32,ZIG,Spare parts,INV-CUR-0381,Procurement,EFT
T00383,2023-08-17 00:00,Msasa Trading,EMP007,33540.6,USD,Spare parts,INV-0134,Maintenance,Cheque
T00384,2024-04-26 00:00,Gweru Components,EMP010,2604.73,ZIG,Packaging materials,INV-0037,Finance,Mobile Money
T00385,2024-11-28 00:00,Msasa Trading,EMP007,17298.78,ZIG,Raw materials purchase,INV-0071,Operations,Cash
T00386,2024-08-06 00:00,Shell Vendor A,EMP003,40199.46,ZIG,Spare parts,INV-0042,Operations,Mobile Money
T00387,2023-07-01 00:00,Harare Steel Supplies,EMP001,14240.95,USD,Safety equipment,INV-0108,Finance,Cash
T00388,2023-04-01 00:00,H@rare Steel Supplies,EMP007,5997.39,USD,Stationery,INV-0245,Procurement,Mobile Money
T00389,2023-07-24 00:00,H@rare Steel Supplies,EMP001,107000.0,USD,Urgent sole supplier payment,INV-FRAUD-0388,Finance,Cash
T00390,2023-12-19 00:00,Bulawayo Metals Ltd,EMP007,14181.73,ZIG,Workshop tools,INV-0157,Procurement,Cash
T00391,2023-11-02 00:00,Shell Vendor A,EMP009,42691.16,ZIG,Packaging materials,INV-0173,Finance,Mobile Money
T00392,2024-05-16 00:00,African Procurement Co,EMP003,16294.44,USD,Stationery,INV-0117,Finance,Cash
T00393,2023-01-23 00:00,ZimBuild Materials,EMP002,26618.24,USD,Spare parts,INV-0193,Procurement,Cheque
T00394,2023-02-19 00:00,Gweru Components,EMP001,29856.25,USD,Raw materials purchase,INV-0214,Maintenance,Mobile Money
T00395,2023-09-16 00:00,Chitungwiza Parts,EMP003,12000.0,USD,Factory consumables,INV-0087,Procurement,Mobile Money
T00396,2023-10-04 00:00,Kwekwe Foundry,EMP003,28101.34,USD,Stationery,INV-0262,Operations,EFT
T00397,2023-04-19 00:00,Bulawayo Metals Ltd,EMP010,12000.0,USD,Factory consumables,INV-0123,Operations,Cash
T00398,2023-10-30 00:00,Shell Vendor B,EMP008,7384.74,USD,Factory consumables,INV-0170,Procurement,Cash
T00399,2023-04-02 00:00,Shell Vendor A,EMP001,393000.0,USD,Emergency procurement no tender,INV-FRAUD-0398,Operations,Cash
T00400,2024-04-12 00:00,Msasa Trading,EMP005,44492.23,USD,Safety equipment,INV-0052,Procurement,Cash
T00401,2024-01-04 00:00,Chitungwiza Parts,EMP007,36111.51,USD,Equipment maintenance,INV-0024,Finance,EFT
T00402,2023-06-24 00:00,Shell Vendor A,EMP010,14924.01,USD,Cleaning materials,INV-0191,Finance,Cheque
T00403,2024-02-14 00:00,ZimBuild Materials,EMP007,12000.0,USD,Safety equipment,INV-0123,Procurement,Cash
T00404,2023-03-02 00:00,Harare Steel Supplies,EMP007,5500.0,USD,Packaging materials,INV-0123,Finance,Mobile Money
T00405,2024-01-03 00:00,Gweru Components,EMP003,27588.86,USD,Safety equipment,INV-0058,Maintenance,Mobile Money
T00406,2023-09-25 00:00,H@rare Steel Supplies,EMP002,686025.29,USD,Emergency procurement no tender,INV-FRAUD-0405,Finance,Mobile Money
T00407,2024-11-10 00:00,H@rare Steel Supplies,EMP003,30498.04,ZIG,Workshop tools,INV-0028,Finance,EFT
T00408,2024-04-25 00:00,ZimBuild Materials,EMP002,38363.83,USD,Safety equipment,INV-0124,Operations,Cheque
T00409,2023-08-17 00:00,Shell Vendor A,EMP001,293000.0,USD,Sole source no tender required,INV-FRAUD-0408,Maintenance,Mobile Money
T00410,2024-05-25 00:00,Harare Steel Supplies,EMP003,41294.77,ZIG,Raw materials purchase,INV-CUR-0409,Procurement,EFT
T00411,2023-02-06 00:00,Harare Steel Supplies,EMP002,25159.47,ZIG,Packaging materials,INV-0156,Maintenance,Cash
T00412,2024-01-08 00:00,African Procurement Co,EMP008,37173.93,ZIG,Spare parts,INV-0243,Maintenance,Cheque
T00413,2024-11-05 00:00,Harare Steel Supplies,EMP006,5500.0,USD,Spare parts,INV-0123,Procurement,Cheque
T00414,2023-06-18 00:00,Shell Vendor A,EMP002,467000.0,USD,Exception waiver approved,INV-FRAUD-0413,Procurement,Cash
T00415,2024-02-07 00:00,African Procurement Co,EMP006,9858.41,USD,Equipment maintenance,INV-0024,Maintenance,EFT
T00416,2024-08-26 00:00,ZimBuild Materials,EMP008,43037.33,ZIG,Raw materials purchase,INV-0025,Maintenance,Mobile Money
T00417,2023-07-01 00:00,ZimBuild Materials,EMP003,31193.43,USD,Equipment maintenance,INV-0165,Maintenance,Mobile Money
T00418,2023-09-12 00:00,Chitungwiza Parts,EMP005,12457.1,ZIG,Safety equipment,INV-0071,Operations,Mobile Money
T00419,2024-07-14 00:00,Kwekwe Foundry,EMP009,38759.7,ZIG,Factory consumables,INV-0108,Operations,Cheque
T00420,2023-05-16 00:00,Gweru Components,EMP003,44163.83,ZIG,Workshop tools,INV-0166,Operations,EFT
T00421,2024-08-19 00:00,Gweru Components,EMP007,25764.59,USD,Workshop tools,INV-0217,Procurement,EFT
T00422,2023-05-29 00:00,Shell Vendor B,EMP001,138289.1,USD,Advance payment cash only,INV-FRAUD-0421,Finance,Mobile Money
T00423,2023-10-30 00:00,Shell Vendor B,EMP001,9339.24,USD,Spare parts,INV-0053,Maintenance,Cash
T00424,2023-10-22 00:00,Harare Steel Supplies,EMP007,31243.54,USD,Stationery,INV-0161,Procurement,EFT
T00425,2023-07-27 00:00,Shell Vendor A,EMP004,28001.16,ZIG,Spare parts,INV-0280,Finance,Cash
T00426,2023-07-01 00:00,Bulawayo Metals Ltd,EMP003,44258.71,ZIG,Office supplies,INV-0062,Procurement,Mobile Money
T00427,2024-07-23 00:00,ZimBuild Materials,EMP010,12037.93,USD,Cleaning materials,INV-0170,Finance,Mobile Money
T00428,2023-11-27 00:00,Shell Vendor B,EMP002,496000.0,USD,Emergency procurement no tender,INV-FRAUD-0427,Finance,Mobile Money
T00429,2024-06-17 00:00,Shell Vendor B,EMP003,3254.31,ZIG,Stationery,INV-0275,Procurement,Mobile Money
T00430,2023-08-07 00:00,Chitungwiza Parts,EMP006,29917.38,ZIG,Cleaning materials,INV-0272,Procurement,Mobile Money
T00431,2023-12-21 00:00,Bulawayo Metals Ltd,EMP010,12000.0,ZIG,Packaging materials,INV-0042,Maintenance,Cheque
T00432,2023-04-27 00:00,Shell Vendor B,EMP005,17487.24,ZIG,Raw materials purchase,INV-0192,Maintenance,Mobile Money
T00433,2024-10-29 00:00,Shell Vendor A,EMP001,265186.08,USD,Urgent sole supplier payment,INV-FRAUD-0432,Finance,Cash
T00434,2023-08-07 00:00,H@rare Steel Supplies,EMP002,38949.8,ZIG,Factory consumables,INV-0223,Finance,EFT
T00435,2023-12-06 00:00,Shell Vendor A,EMP002,124476.51,USD,Emergency procurement no tender,INV-FRAUD-0434,Operations,Cash
T00436,2024-04-06 00:00,H@rare Steel Supplies,EMP006,28433.73,USD,Raw materials purchase,INV-0061,Procurement,EFT
T00437,2024-08-22 00:00,Bulawayo Metals Ltd,EMP006,2239.16,USD,Workshop tools,INV-0149,Procurement,Cheque
T00438,2024-03-24 00:00,Gweru Components,EMP001,17287.33,ZIG,Safety equipment,INV-0274,Finance,Cash
T00439,2024-07-12 00:00,Gweru Components,EMP003,13415.04,USD,Cleaning materials,INV-0006,Procurement,Cash
T00440,2024-08-09 00:00,Shell Vendor B,EMP001,632955.35,USD,No receipt provided emergency,INV-FRAUD-0439,Maintenance,Cash
T00441,2024-06-08 00:00,ZimBuild Materials,EMP004,6581.99,USD,Packaging materials,INV-0100,Finance,EFT
